Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
14/08/2015,0,0,4.7(-7.84 %),0,0,0,0,1374644,3.12
17/08/2015,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
18/08/2015,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
19/08/2015,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
20/08/2015,0,0,5.1(8.51 %),0,0,0,0,1374644,3.12
21/08/2015,0,0,4.7(-7.84 %),0,0,0,0,1374644,3.12
24/08/2015,0,0,4.5(-4.26 %),0,0,0,0,1374644,3.12
25/08/2015,0,0,4.9(8.89 %),0,0,0,0,1374644,3.12
26/08/2015,0,0,4.6(-6.12 %),0,0,0,0,1374644,3.12
27/08/2015,0,0,4.2(-8.70 %),0,0,0,0,1374644,3.12
28/08/2015,0,0,4.2(0.00 %),0,0,0,0,1374644,3.12
31/08/2015,0,0,4.2(0.00 %),0,0,0,0,1374644,3.12
01/09/2015,0,0,4(-4.76 %),0,0,0,0,1374644,3.12
03/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
04/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
07/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
08/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
09/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
10/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
11/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
14/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
15/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
16/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
17/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
18/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
21/09/2015,0,0,4(0.00 %),0,0,0,0,1374644,3.12
22/09/2015,0,0,3.6(-10.00 %),0,0,0,0,1374644,3.12
23/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
24/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
25/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
28/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
29/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
30/09/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
01/10/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
02/10/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
05/10/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
06/10/2015,0,0,3.6(0.00 %),0,0,0,0,1374644,3.12
07/10/2015,0,0,3.9(8.33 %),0,0,0,0,1374644,3.12
08/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
09/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
12/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
13/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
14/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
15/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
16/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
19/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
20/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
21/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
22/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
23/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
26/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
27/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
28/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
29/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
30/10/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
02/11/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
03/11/2015,0,0,3.9(0.00 %),0,0,0,0,1374644,3.12
04/11/2015,0,0,4.2(7.69 %),0,0,0,0,1374644,3.12
05/11/2015,0,0,4.2(0.00 %),0,0,0,0,1374644,3.12
06/11/2015,0,0,4.2(0.00 %),0,0,0,0,1374644,3.12
09/11/2015,0,0,4.3(2.38 %),0,0,0,0,1374644,3.12
10/11/2015,0,0,4.6(6.98 %),0,0,0,0,1374644,3.12
11/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
12/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
13/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
16/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
17/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
18/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
19/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
20/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
23/11/2015,0,0,4.6(0.00 %),0,0,0,0,1374644,3.12
24/11/2015,0,0,5(8.70 %),0,0,0,0,1374644,3.12
25/11/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
26/11/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
27/11/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
30/11/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
01/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
02/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
03/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
04/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
07/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
08/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
09/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
10/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
11/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
14/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
15/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
16/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
17/12/2015,0,0,5(0.00 %),0,0,0,0,1374644,3.12
18/12/2015,0,0,5.5(10.00 %),0,0,0,0,1374644,3.12
21/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
22/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
23/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
24/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
25/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
28/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
29/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
30/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
31/12/2015,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
04/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
05/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
06/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
07/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
08/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
11/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
12/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
13/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
14/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
15/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
18/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
19/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
20/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
21/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
22/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
25/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
26/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
27/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
28/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
29/01/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
01/02/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
02/02/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
03/02/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
04/02/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
05/02/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
15/02/2016,0,0,6(9.09 %),0,0,0,0,1374644,3.12
16/02/2016,0,0,6(0.00 %),0,0,0,0,1374644,3.12
17/02/2016,0,0,5.4(-10.00 %),0,0,0,0,1374644,3.12
18/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
19/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
22/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
23/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
24/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
25/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
26/02/2016,0,0,5.4(0.00 %),0,0,0,0,1374644,3.12
29/02/2016,0,0,4.9(-9.26 %),0,0,0,0,1374644,3.12
01/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
02/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
03/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
04/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
07/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
08/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
09/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
10/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
11/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
14/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
15/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
16/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
17/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
18/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
21/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
22/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
23/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
24/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
25/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
28/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
29/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
30/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
31/03/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
01/04/2016,0,0,4.5(-8.16 %),0,0,0,0,1374644,3.12
04/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
05/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
06/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
07/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
08/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
11/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
12/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
13/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
14/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
15/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
19/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
20/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
21/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
22/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
25/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
26/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
27/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
28/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
29/04/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
04/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
05/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
06/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
09/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
10/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
11/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
12/05/2016,0,0,4.5(0.00 %),0,0,0,0,1374644,3.12
13/05/2016,0,0,4.9(8.89 %),0,0,0,0,1374644,3.12
16/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
17/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
18/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
19/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
20/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
23/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
24/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
25/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
26/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
27/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
30/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
31/05/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
01/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
02/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
03/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
06/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
07/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
08/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
09/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
10/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
13/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
14/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
15/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
16/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
17/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
20/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
21/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
22/06/2016,0,0,4.9(0.00 %),0,0,0,0,1374644,3.12
23/06/2016,0,0,5.3(8.16 %),0,0,0,0,1374644,3.12
24/06/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
27/06/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
28/06/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
29/06/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
30/06/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
01/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
04/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
05/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
06/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
07/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
08/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
11/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
12/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
13/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
14/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
15/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
18/07/2016,0,0,5.3(0.00 %),0,0,0,0,1374644,3.12
19/07/2016,0,0,5.5(3.77 %),0,0,0,0,1374644,3.12
20/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
21/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
22/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
25/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
26/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
27/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
28/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
29/07/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
01/08/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
02/08/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
03/08/2016,0,0,5.5(0.00 %),0,0,0,0,1374644,3.12
04/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
05/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
08/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
09/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
10/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
11/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
12/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
15/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
16/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
17/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
18/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
19/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
22/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
23/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
24/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
25/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
26/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
29/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
30/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
31/08/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
01/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
05/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
06/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
07/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
08/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
09/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
12/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
13/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
14/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
15/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
16/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
19/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
20/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
21/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
22/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
23/09/2016,0,0,5.5(27.91 %),0,0,0,0,1374644,3.12
26/09/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
27/09/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
28/09/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
29/09/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
30/09/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
03/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
04/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
05/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
06/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
07/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
10/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
11/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
12/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
13/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
14/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
17/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
18/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
19/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
20/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
21/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
24/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
25/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
26/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
27/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
28/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
31/10/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
01/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
02/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
03/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
04/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
07/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
08/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
09/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
10/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
11/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
14/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
15/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
16/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
17/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
18/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
21/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
22/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
23/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
24/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
25/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
28/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
29/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
30/11/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
01/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
02/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
05/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
06/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
07/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
08/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
09/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
12/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
13/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
14/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
15/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
16/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
19/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
20/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
21/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
22/12/2016,0,0,4.3(0.00 %),0,0,0,0,1374644,3.12
23/12/2016,0,0,4.7(9.30 %),0,0,0,0,1374644,3.12
26/12/2016,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
27/12/2016,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
28/12/2016,0,0,4.7(0.00 %),0,0,0,0,1374644,3.12
29/12/2016,0,0,5.1(8.51 %),0,0,0,0,1374644,3.12
30/12/2016,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
03/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
04/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
05/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
06/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
09/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
10/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
11/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
12/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
13/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
16/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
17/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
18/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
19/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
20/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
23/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
24/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
25/01/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
02/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
03/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
06/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
07/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
08/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
09/02/2017,0,0,5.1(0.00 %),0,0,0,0,1374644,3.12
10/02/2017,0,0,5.6(9.80 %),0,0,0,0,1374644,3.12
13/02/2017,0,0,5.6(0.00 %),0,0,0,0,1374644,3.12
14/02/2017,0,0,5.6(0.00 %),0,0,0,0,1374644,3.12
15/02/2017,0,0,5.6(0.00 %),0,0,0,0,1374644,3.12
16/02/2017,0,0,5.6(0.00 %),0,0,0,0,1374644,3.12
